23,9
23,9
23,9
23,8
23,8
23,8
23,7
23,8
23,9
23,7
23,7
23,7
23,6
23,7
23,6
23,6
23,6
23,6
23,6
23,6
23,8
23,8
23,7
23,7
23,7
23,6
23,7
23,6
23,6
23,7
23,7
23,8
23,8
23,8
23,8
23,6
23,6
23,9
23,7
23,7
23,7
23,7
23,7
23,7
23,7
23,6
23,7
23,7
23,6
23,6
23,6
23,5
23,6
23,5
23,5
23,4
23,6
23,9
23,7
23,7
23,8
23,5
23,7
23,6
23,7
23,6
23,7
23,6
23,6
23,7
23,7
23,6
23,6
23,8
23,11
23,6
23,6
23,6
23,6
23,5
23,10
23,10
23,9
23,10
23,10
23,10
23,10
23,10
23,9
23,9
23,8
23,10
23,9
23,9
23,10
23,9
23,9
23,8
23,8
23,10
23,10
23,9
23,9
23,9
23,11
23,10
23,9
23,9
23,12
23,15
23,15
23,14
23,15
23,15
23,14
23,16
23,12
23,11
23,10
23,10
23,16
23,15
23,13
23,15
23,15
23,13
23,13
23,12
23,7
23,6
24,6
24,6
24,5
23,6
23,6
23,5
23,5
23,5
23,4
23,4
23,5
23,6
23,7
23,7
23,6
23,6
23,6
23,7
24,7
24,6
23,3
23,4
23,4
23,6
23,7
23,7
23,6
23,6
24,3
24,2
24,2
24,2
23,2
23,2
23,2
23,2
23,2
23,2
23,2
24,2
24,2
23,2
23,2
23,2
23,3
23,6
23,5
23,2
23,2
23,2
23,2
23,2
23,3
23,5
23,7
