# name stafflines/staff staffs
historic/derore01.png 5 7
historic/gregorian.png 4 3
historic/josquin04.png 5 12
historic/ockeghem.png 5 10
historic/rossi.png 5 12
modern/bach.png 5 8
modern/bellinzani.png 5 12
modern/brahms02.png 5 12
modern/bruckner01.png 5 12
modern/buxtehude.png 5 15
modern/carcassi01.png 5 8
modern/dalitz03.png 5 12
modern/diabelli.png 5 8
modern/mahler.png 5 9
modern/pmw01.png 5 16
modern/pmw03.png 5 12
modern/pmw04.png 5 10
modern/rameau.png 5 14
modern/schumann.png 5 8
modern/tye.png 5 12
modern/victoria09.png 5 15
modern/wagner.png 5 9
modern/williams.png 5 12
tablature/baroque.png 6 8
tablature/carcassi.png 6 7
tablature/dacrema.png 6 8
tablature/denmoy.png 6 7
tablature/dowland.png 6 5
tablature/gaultier01.png 6 8
tablature/goess.png 6 5
tablature/hotman.png 6 4
tablature/hurel.png 6 6
